Name,Status,Batch,Team_size,Website
Twitch,Acquired,W07,2000,http://twitch.com
Weebly,Acquired,W07,201,http://weebly.com
Buxfer,Active,W07,1,https://www.buxfer.com
Virtualmin,Active,W07,2,http://virtualmin.com
Heysan,Acquired,W07,0,http://heysan.com
Auctomatic,Acquired,W07,2,http://auctomatic.com
Zenter,Acquired by Google in June 2007,W07,2,https://googleblog.blogspot.com/2007/06/more-sharing.html
Octopart,Acquired,W07,11,http://octopart.com
Socialmoth,Inactive,W07,2,http://socialmoth.com
View3,Inactive,W07,0,http://view3.com
Whitenoise,Inactive,W07,2,http://whitenoisenetworks.com
WriteWith,Inactive,W07,2,http://writewith.com
Tsumobi,Inactive,W07,2,http://tsumobi.com
